epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.8808,1.17454,3.6518,1.5045,0.02461,0.88,0.22024,0.16781,0.76083,4.00248,1.17246,0.0002142,0.0002142,0.0002142
2,86.6393,0.91749,3.44557,1.28216,0.04081,0.93143,0.32952,0.26713,0.60833,3.96303,1.13129,0.000422355,0.000422355,0.000422355
3,125.833,0.88062,3.10525,1.29688,0.01912,0.97286,0.37772,0.29996,0.58204,3.9226,1.11716,0.000599094,0.000599094,0.000599094
4,165.124,0.97581,2.78739,1.36377,0.01503,1,0.56836,0.39655,0.80089,3.79801,1.24491,0.000572628,0.000572628,0.000572628
5,207.034,0.94996,2.5387,1.38435,0.01278,1,0.64799,0.49733,0.74033,3.68115,1.19946,0.000525504,0.000525504,0.000525504
6,251.975,0.79034,2.2424,1.31482,0.87294,0.53243,0.81791,0.61997,0.83321,3.31423,1.33576,0.00047838,0.00047838,0.00047838
7,324.694,0.75067,1.97863,1.28916,0.98362,0.32059,0.86257,0.6677,0.80397,3.14052,1.33139,0.000431256,0.000431256,0.000431256
8,400.399,0.72629,1.76963,1.25038,0.96048,0.58059,0.96185,0.72399,0.90277,2.87752,1.35165,0.000384132,0.000384132,0.000384132
9,463.499,0.76997,1.68442,1.2938,0.89143,0.79593,0.97268,0.70238,0.97894,2.64035,1.42912,0.000337008,0.000337008,0.000337008
10,510.857,0.76996,1.58245,1.3139,0.87274,0.86069,0.98634,0.75944,0.88505,2.294,1.31763,0.000289884,0.000289884,0.000289884
11,552.614,0.67734,1.46038,1.18368,0.93213,0.8777,0.9915,0.76138,0.83488,2.10214,1.27418,0.00024276,0.00024276,0.00024276
12,593.762,0.70041,1.43454,1.19871,0.91463,0.95473,0.9915,0.78492,0.80666,1.7014,1.2169,0.000195636,0.000195636,0.000195636
13,631.867,0.62647,1.31436,1.15655,0.9267,0.95482,0.99245,0.78357,0.8071,1.5733,1.19905,0.000148512,0.000148512,0.000148512
14,671.788,0.66547,1.29251,1.14701,0.93531,0.96223,0.99413,0.7727,0.8423,1.54338,1.19469,0.000101388,0.000101388,0.000101388
15,709.992,0.63902,1.27552,1.11442,0.95458,0.94571,0.99316,0.783,0.82614,1.52298,1.17892,5.4264e-05,5.4264e-05,5.4264e-05
